term		index		tf-idf
一下		8		0.00276520012323
一个		16		0.0
一刀		55		0.0644478906511
一切		60		0.00391075725215
一卡		77		0.0116601029244
一口		81		0.0198744201156
一只		84		0.00569404070475
一周		93		0.0429892551817
一块		104		0.00658895424101
一堆		108		0.00763523151678
一天		115		0.0160796394385
一头		119		0.0189216195496
一季		125		0.038425998127
一定		126		0.00143985873151
一小		133		0.00993526040722
一届		135		0.0628975594463
一把		165		0.0393006732551
一样		209		0.000938143453774
一步		222		0.00744287508917
一步步		223		0.0240676356321
一流		230		0.0148857501783
一点		234		0.000255830835783
一百万		249		0.0132226861541
一直		259		0.00229311875111
一种		265		0.00978459272512
一群		286		0.00773020618596
一脸		293		0.00651844224317
一致		295		0.0220467860089
一起		312		0.00184333139483
一转眼		319		0.0107473137954
一遍		328		0.0033373809583
一集		338		0.00141882279156
一面		339		0.00829405239258
三十岁		419		0.0129466069451
上司		481		0.00993526040722
上帝		493		0.00829405239258
上海		508		0.0075375958342
上班		512		0.0221896632673
上线		518		0.0135250967119
下来		556		0.0123007229056
不了		597		0.00664622513218
不会		605		0.000599460716667
不信		612		0.0243482568032
不像		618		0.0106880776054
不再		627		0.00744287508917
不吃		656		0.0269151109381
不合		658		0.0196690493328
不好		689		0.00264055615032
不如		693		0.0033467469943
不少		705		0.00860352649107
不必		727		0.0269151109381
不想		739		0.0056195036598
不敢		761		0.00816802243593
不是		769		8.04966557049e-05
不来		778		0.0175055910421
不爱		802		0.00789333385439
不知		820		0.00685645420719
不能		851		0.00208531918364
不该		883		0.00572104435132
不过		899		0.000314499551737
不进		901		0.0122385926913
不错		914		0.000361600761871
丑死		944		0.0148857501783
专业		952		0.00524358193954
世界		974		0.00717830098674
东西		1002		0.00320546939648
两个		1018		0.00088608847225
两分钟		1022		0.0129466069451
两季		1038		0.0110233930045
两年		1042		0.0148857501783
两集		1065		0.00566726493977
严重		1073		0.033067132533
个人		1080		0.00330147342314
个头		1084		0.0104933455422
中国		1107		0.00540515479357
中毒		1138		0.00868305844306
中间		1147		0.00406786406189
为了		1162		0.00169800448096
为什么		1165		0.000405059045158
为啥		1167		0.00810550302445
主管		1205		0.527644582774
主角		1212		0.00171146410251
义气		1237		0.018578518769
之中		1242		0.0103735989038
之内		1248		0.0122385926913
之前		1250		0.00186857091226
之后		1253		0.00454322660403
之类		1282		0.00628330436761
之间		1287		0.00495392254148
也许		1337		0.00442551355555
习惯		1339		0.0135508745808
争取		1401		0.0110233930045
事情		1421		0.0143698327167
云端		1510		0.0129466069451
亚裔		1553		0.0146567939659
交易		1564		0.0264453723082
享受		1580		0.00817430575417
人不可貌		1626		0.0135250967119
人家		1665		0.0062364904844
人才		1682		0.00423315712794
人教		1684		0.0151459000947
