term		index		tf-idf
一下		8		0.000952193502284
一世		12		0.00623144917162
一丝		13		0.0312002201058
一个		16		0.0
一人		34		0.00494111833812
一代		38		0.00917492588152
一会儿		45		0.0119600050065
一出场		54		0.0123575835896
一副		67		0.010323854934
一品		95		0.00891629861157
一回		99		0.01315439275
一场		103		0.00482608254691
一天		115		0.00276850273219
一换		171		0.0186294063836
一样		209		0.000201905391356
一段		225		0.00662286876317
一流		230		0.00512589106206
一点		234		0.000352380223725
一版		238		0.00791213987138
一直		259		0.00263210940435
一脸		293		0.00448923627395
一般		296		0.00120523308365
一通		326		0.00910643373181
一遍		328		0.00229844663787
一部		330		0.00126959979281
一集		338		0.000977140013608
万物		392		0.00891629861157
丈夫		401		0.00456248923583
三千		422		0.00828766282475
三哥		429		0.00698812348459
上位		476		0.0383849502363
上来		503		0.00466414362945
上面		534		0.00297458810862
下去		544		0.00319234123678
不会		605		0.000412847225407
不像		618		0.00245361820586
不到		634		0.00132041327766
不同		662		0.00454434333447
不太		682		0.00811021191924
不好		689		0.00303090830887
不怎么		732		0.00730434111079
不想		739		0.000967534831563
不敢		761		0.00281264919117
不是		769		6.46775065956e-05
不来		778		0.00602803026945
不然		799		0.00255032316273
不爽		803		0.00384862689335
不看		819		0.0057354660224
不知		820		0.00472202434099
不符		832		0.00722674309074
不管		835		0.00356564677332
不给力		842		0.00651563806774
不肯		848		0.00691404264796
不能		851		0.000319145456766
不能不		852		0.00602803026945
不至于		858		0.00965216509382
不行		863		0.00254061029885
不要		865		0.00059943599217
不见		870		0.0119332396189
不让		876		0.00571541190052
不过		899		0.000866380489772
不进		901		0.00842869081328
不错		914		0.000398453789128
与其		928		0.00931470319179
世家		973		0.00910643373181
世界		974		0.00329578632163
业余		981		0.00677301465942
丢脸		1015		0.00645576650345
两个		1018		0.00183074131663
严肃		1071		0.006577196375
严重		1073		0.00379554309923
个人		1080		0.00341057580073
个人感觉		1081		0.00579779906284
个性		1086		0.00709580008868
中国		1107		0.0022335106512
中演		1139		0.00828766282475
为主		1161		0.00740165044624
为了		1162		0.00116941180498
为什么		1165		0.00021697140778
为何		1166		0.00617081896235
为首		1178		0.0108293513571
主持		1198		0.00891629861157
主演		1204		0.0057354660224
主要		1208		0.00233397872802
主见		1210		0.0146248944563
主角		1212		0.00117868141558
举动		1222		0.00980231099008
举手投足		1224		0.0104309467769
举止		1227		0.00874139125607
之前		1250		0.00257376103272
之后		1253		0.00312890977794
之所以		1269		0.0118660153454
乌鸦		1291		0.00980231099008
也许		1337		0.006095682141
乾隆		1395		0.0419287409075
了解		1398		0.00289211887245
二人		1432		0.029606601785
五千年		1525		0.0174827825121
亲手		1610		0.0307737598404
亲自		1620		0.0130312761355
人到		1641		0.00931470319179
人家		1665		0.00184073860377
人演		1707		0.00399683116222
人物		1709		0.00603400558016
人称		1719		0.0104309467769
什么		1749		5.85177440627e-05
什么样		1751		0.00719046842833
仆人		1760		0.00842869081328
从没		1794		0.00602803026945
他们		1804		0.00016952798659
他会		1805		0.00664053922739
他妈的		1810		0.0019869213365
仙人掌		1831		0.0216587027142
代表		1849		0.0037098389618
代表作		1850		0.0104309467769
以为		1862		0.000740180748997
以前		1863		0.000483764041103
以及		1864		0.00532774296853
以后		1865		0.00359969063203
以往		1867		0.00791213987138
以来		1868		0.00722674309074
优柔寡断		1912		0.00842869081328
优点		1913		0.00645576650345
优秀		1914		0.00488284354072
优酷		1919		0.000832805479373
似乎		2002		0.00932828725891
但是		2010		0.00111700909868
位子		2014		0.00910643373181
体型		2036		0.00857945233861
何况		2054		0.0207645000906
何来		2063		0.0312002201058
