term		index		tf-idf
一个		16		0.0
一会儿		45		0.0423107105439
一共		51		0.0104945512213
一出		53		0.0117460625206
一分钟		58		0.00843871679584
一副		67		0.00608708827981
一口		81		0.0161406421914
一只		84		0.00693646454368
一天天		117		0.0178548656289
一定		126		0.00175403190053
一对		132		0.00482050131081
一样		209		0.000285710936285
一步		222		0.00906688972491
一流		230		0.00906688972491
一点		234		0.00124660964936
一生		244		0.00608708827981
一盒		258		0.0346774723537
一种		265		0.00397318787784
一脚		292		0.0203576938043
一般		296		0.00213186650477
一般般		298		0.0104945512213
一起		312		0.00224554117638
一辈子		323		0.0180270005503
一边		324		0.0136152232702
一部		330		0.00224572102232
一集		338		0.00518521793104
万茜		398		0.0191554079785
三部		468		0.00918227827295
上去		479		0.0086881729791
上尉		490		0.0144252353163
下属		549		0.0136084772148
下来		556		0.0199796085582
下载		575		0.00432336565279
下面		584		0.0132440899883
不了		597		0.00161928259277
不会		605		0.00182565344283
不像		618		0.00434006213364
不卡		639		0.0086881729791
不及		642		0.0149090195644
不吃		656		0.0109293044191
不够		679		0.00354167378966
不好		689		0.00321671815535
不如		693		0.00203849893831
不怕		734		0.00541317245822
不想		739		0.00684566372292
不放		758		0.0303513856664
不敢		761		0.00995026220512
不是		769		3.26869340032e-05
不用		807		0.0112934924319
不算什么		834		0.0279906454637
不累		838		0.0137970623872
不能不要		853		0.0118614510686
不至于		858		0.00853657592922
不行		863		0.00898787474596
不要		865		0.000530153681803
不过		899		0.0015324899155
不错		914		0.000616701458813
丑死		944		0.00906688972491
专属		957		0.0137970623872
世界		974		0.00874458628947
世纪		977		0.00948678443078
东西		1002		0.0104130504001
两口		1024		0.0322156789654
两对		1040		0.0164762351829
严格		1070		0.0149090195644
个人		1080		0.0060327686073
个性		1086		0.0125513469044
中国		1107		0.0171198157792
中间		1147		0.0198218427278
丸子		1157		0.0144252353163
为了		1162		0.000689501444751
为什么		1165		0.000657922402391
为何		1166		0.00545760087043
为啥		1167		0.00658273415467
主演		1204		0.00338171043931
之后		1253		0.00553454600816
