term		index		tf-idf
一下		8		0.00301191207869
一个		16		0.0
一声		110		0.00837087536067
一大堆		114		0.0290725209272
一样		209		0.000319326526341
一模一样		216		0.0070622487098
一演		232		0.0164972216856
一点		234		0.000835968411028
一片		237		0.0171951587716
一直		259		0.00749313440968
一看		260		0.00939114801086
一绝		284		0.0147318097558
一脚		292		0.00910115899851
一般		296		0.00190615461751
一起		312		0.00133852930365
一遍		328		0.0036351430535
一部		330		0.00501988690046
一集		338		0.0154541057174
万岁		388		0.0167417507213
三个		405		0.0036351430535
三部		468		0.016420204633
上去		479		0.0077683105414
上官		488		0.0183391936463
下去		544		0.0126222389505
下意识		553		0.0342546489538
下来		556		0.00893213130938
下贱		571		0.0120069033194
不了		597		0.00144784065248
不会		605		0.00032647238767
不厌		640		0.00896821963935
不可磨灭		655		0.0159644773664
不够		679		0.00950009463461
不好		689		0.0086284420033
不好受		690		0.0135689626453
不好意思		691		0.00837087536067
不帅		711		0.00800674971267
不怎么样		733		0.00566096242804
不敢		761		0.0177935515243
不是		769		4.87103281272e-05
不服		775		0.00977216164243
不然		799		0.0201675109102
不管		835		0.00281965129964
不能		851		0.000252374662762
不腻		855		0.0174335270281
不要		865		0.000948047062327
不认		874		0.0141017069645
不说		885		0.00684390260216
不起		894		0.0176804102156
不过		899		0.00102767787835
不配		910		0.00592093436185
不错		914		0.000551408041129
东东		984		0.00896821963935
东方不败		994		0.0121676763635
东林		996		0.0513819734307
东西		1002		0.00232764153597
两个		1018		0.00193029108449
两部		1063		0.0060306577746
中医		1098		0.0441954292674
中原		1106		0.0128979600014
中国		1107		0.00353244256136
为了		1162		0.00184950093229
为什么		1165		0.000245110294679
为啥		1167		0.00588578556711
为重		1176		0.0155029932462
之后		1253		0.0024742872984
之外		1259		0.00931067752228
乐意		1301		0.0144024180405
也许		1337		0.00482035915607
乱来		1384		0.0370088851041
了解		1398		0.0045740743578
事事		1411		0.0393224355754
事实		1418		0.0154450701495
事情		1421		0.00626076534058
亲眼看见		1619		0.0513819734307
人不可貌		1626		0.0147318097558
人参		1645		0.0159644773664
人品		1652		0.0890361967984
人家		1665		0.00145562399373
人物		1709		0.00715737961066
什么		1749		0.000102291689067
今天		1767		0.00741106479041
今年		1768		0.00710001954706
介绍		1777		0.010342837273
从小		1788		0.00657270491825
他们		1804		0.00107247820797
他妹		1811		0.023706556304
代表		1849		0.0117347038729
以前		1863		0.0175973997765
任泉		1886		0.0294636195116
优酷		1919		0.00131713610548
传奇		1957		0.0122305973428
传说		1965		0.00600289861163
伤口		1975		0.0216433744336
伤疤		1981		0.0127004206827
伤痕		1982		0.0254008413654
但是		2010		0.00126187331381
低调		2028		0.016420204633
体育老师		2042		0.0131074785251
你们		2101		0.00125591332542
你妹		2109		0.0125821304387
你老		2115		0.0141017069645
使劲		2127		0.0250271290338
使徒		2129		0.00953372247117
信念		2218		0.0271379252906
偏爱		2311		0.0288048360809
做作		2320		0.00441330131363
做好		2324		0.00923941732326
傲娇		2382		0.0125135645169
