term		index		tf-idf
一个		16		0.0
一些		33		0.00463930547778
一切		60		0.00633728225175
一句		83		0.0121488113191
一名		88		0.0150530075977
一听		90		0.0150530075977
一坨		107		0.0178631268414
一套		120		0.02170706682
一帮		142		0.032923554754
一往情深		153		0.0509619443828
一旦		185		0.0149194515557
一样		209		0.000760118753973
一根		210		0.0277036983036
一次		218		0.00383144177752
一段时间		226		0.0159365960617
一流		230		0.0361829670036
一点		234		0.00331653868655
一直		259		0.00123864679102
一看		260		0.00465718938633
一种		265		0.015855682626
一群		286		0.0187899025583
一般		296		0.00850757621835
一见		303		0.018894899006
一词		307		0.042854050447
一起		312		0.00398276193223
一辈子		323		0.0159866254734
一部		330		0.00448096602667
一集		338		0.00689749829683
一顿		341		0.0250718747499
一颗		343		0.0259365213755
三分钟		414		0.0191887857653
三角恋		466		0.0191887857653
上班		512		0.0239718550874
上集		533		0.0147892770452
下去		544		0.00375571701375
下来		556		0.00664433577501
下水道		563		0.0475019206148
下載		573		0.0438341476186
下车		574		0.0168101520962
下载		575		0.00575104221718
下面		584		0.00880879929756
不了		597		0.00646202285474
不会		605		0.00388564312782
不像		618		0.0288662613347
不到		634		0.00932061752354
不卡		639		0.0115572111188
不可思议		652		0.0154758445268
不吃		656		0.0436152499002
不堪		674		0.0191887857653
不好		689		0.00855790761083
不怎么		732		0.00572892769483
不愧		741		0.0221968373377
不愧为		742		0.0198323268994
不愿		743		0.0159365960617
不易		768		0.0309516890535
不是		769		0.000166676878906
不演		791		0.0139600977505
不然		799		0.00600079464092
不爱		802		0.0255818918523
不用		807		0.00375571701375
不看		819		0.0179937216185
不知		820		0.0111107089383
不管		835		0.0041949025052
不能		851		0.00262827170737
不行		863		0.00298897035654
不要		865		0.00141044568075
不过		899		0.00203855396681
不错		914		0.00070315775979
与否		930		0.0224587973881
丑化		938		0.048299507271
专业		952		0.0339883624766
专家		956		0.0328854747268
东西		1002		0.00692584172496
两个		1018		0.0014358837398
两人		1019		0.00834804776264
两年		1042		0.0241219780024
两集		1065		0.00918365810073
严肃		1071		0.0154758445268
严重		1073		0.0178614812602
个人		1080		0.0106999067342
丫鬟		1095		0.0135401404734
中共		1097		0.0383775715307
中华民族		1105		0.0176345728357
中国		1107		0.0210213967266
为了		1162		0.0128406735179
为什么		1165		0.00109397973004
主要		1208		0.0109834920122
主要演员		1209		0.0237509603074
举报		1225		0.0230643928258
之地		1254		0.0209796459159
之极		1273		0.0219170738093
之间		1287		0.0240831148863
也好		1334		0.0116809278473
也许		1337		0.00717143169523
乱七八糟		1371		0.00992607956151
了不起		1397		0.0115572111188
事件		1412		0.0135401404734
事实		1418		0.0229782184312
事实证明		1420		0.0201870619253
事情		1421		0.0326003257043
产品		1575		0.0170041984655
享受		1580		0.0132462537141
亲自		1620		0.015331000624
人力		1643		0.0237509603074
人员		1649		0.0247453953593
人品		1652		0.0264925074282
人家		1665		0.00144372479408
人帅		1669		0.0230643928258
人格		1696		0.0191887857653
人民		1701		0.0202594692792
人物		1709		0.00709887062116
人质		1730		0.0318731921234
人配		1737		0.0224587973881
什么		1749		0.000188417341372
什么样		1751		0.00845942291571
什麼		1753		0.0135401404734
今天		1767		0.0165385845367
介石		1776		0.0254809721914
他人		1803		0.0154758445268
他们		1804		0.00279224160215
他妈		1809		0.0205759015395
他妈的		1810		0.014025407151
他演		1820		0.0164780681982
仙女		1838		0.0293246341019
以为		1862		0.00174161170506
以后		1865		0.0112932115529
价值		1876		0.0147892770452
任何		1880		0.0150690405736
任何人		1881		0.0136419580287
任务		1882		0.0116961822414
优酷		1919		0.00391910698267
会演		1937		0.0135401404734
传说		1965		0.0178614812602
伤不起		1972		0.0150530075977
估计		1994		0.00368109134203
但是		2010		0.000375467386767
位置		2015		0.0551804762852
低估		2019		0.0237509603074
低劣		2021		0.024543544298
低级		2024		0.0157783799315
作为		2081		0.00772615558063
你们		2101		0.00373694006476
佩服		2121		0.0207450293105
使劲		2127		0.0186169059797
侮辱		2161		0.0172235566302
俊朗		2178		0.073630632894
保卫		2192		0.0209796459159
假到		2284		0.0419592918319
做个		2316		0.0295785540904
做梦		2333		0.0139600977505
停下来		2345		0.0237509603074
停止		2349		0.0166231635433
偶像		2357		0.0167698108018
偷人		2364		0.0219170738093
偷看		2369		0.0205680968476
偷窥		2370		0.0254809721914
傻子		2396		0.0142846012684
像是		2410		0.0132360717574
優酷		2416		0.0237509603074
允许		2426		0.0128788389813
先进		2464		0.0394557283286
党国		2503		0.0419592918319
入眼		2513		0.024543544298
全国		2522		0.0130592651612
全死		2535		0.0230643928258
共产党		2638		0.049814678894
共产党人		2639		0.049087088596
共党		2642		0.0176345728357
关怀		2655		0.0461287856516
关系		2663		0.00825963571477
关键时刻		2669		0.0186169059797
其中		2683		0.0105067760715
其他		2686		0.00281077762375
其他人		2687		0.0101819342607
其实		2690		0.00216558719112
内奸		2720		0.183972007488
内讧		2732		0.0922575713033
再说		2756		0.013131672515
军官		2786		0.0135401404734
军统		2797		0.0318731921234
军装		2800		0.0146623170509
冤枉		2817		0.0145384166334
冲突		2857		0.0705382913426
冷淡		2871		0.0209796459159
准确		2889		0.0164427373634
几个		2911		0.00969197268758
几集		2970		0.0108578297106
出去		3008		0.00880879929756
出来		3032		0.00124370200746
出现		3040		0.00506161942066
出神入化		3043		0.0198323268994
击中		3063		0.0230643928258
分钟		3105		0.00408153939448
刘小峰		3126		0.229328749722
刘晓峰		3130		0.127404860957
刚刚		3145		0.00711333369265
刚好		3148		0.0138518491518
刚死		3154		0.0219170738093
初恋		3174		0.0348314950677
别个		3194		0.0209796459159
别人		3196		0.0034691374188
别扭		3206		0.0133415417798
别的		3217		0.00975358732442
到位		3229		0.0132360717574
到底		3236		0.00261441510562
到极点		3240		0.0372338119595
刺杀		3262		0.0186169059797
刺眼		3265		0.0254809721914
刻画		3268		0.0133423615314
前面		3306		0.00482100701886
剧中		3314		0.00542891485531
剧情		3325		0.00401807100399
剧本		3334		0.0184269480343
剧组		3341		0.0275509743022
办公室		3374		0.0141836816075
办法		3377		0.0062878432312
加入		3389		0.0131519094429
加载		3401		0.0303802511016
动作		3407		0.0234741599291
动手		3415		0.0159365960617
动用		3418		0.0214270252235
动静		3423		0.0209796459159
劳资		3438		0.0140706744536
勃朗宁		3442		0.0475019206148
勉强		3447		0.0140706744536
包围		3467		0.0174157475339
化装		3487		0.0254809721914
区别		3508		0.0092708062637
千面		3590		0.073630632894
单位		3640		0.0146623170509
危险		3731		0.0119119461447
即使		3733		0.00954148025885
历史		3751		0.0115911173459
厉害		3759		0.00256647425926
压抑		3762		0.0325368570347
参与		3828		0.0172058564107
又帅		3835		0.0170041984655
及其		3840		0.0224587973881
反反复复		3874		0.0191887857653
反差		3878		0.0174157475339
反正		3887		0.006697342621
反派		3888		0.0111615068042
反而		3893		0.00809718735086
发报		3926		0.024543544298
发现		3934		0.00433640212346
发生		3936		0.00779165479152
发疯		3938		0.0390009888875
发自内心		3945		0.0254809721914
受伤		3976		0.0283489896074
变化		3998		0.0212395664508
变态		4011		0.0148826323808
变成		4015		0.00369593007822
叛徒		4033		0.0151901255508
只会		4092		0.00747219687497
只是		4098		0.00249405680602
只有		4099		0.00907834619575
只能		4105		0.00277338386968
可以		4131		0.000407838127749
可怜		4144		0.0031870032495
可恶		4147		0.00827511578064
可悲		4148		0.0120609890012
可惜		4149		0.00433005862552
可是		4154		0.00861603047299
可爱		4158		0.00130355537109
可能		4168		0.00938712066773
台词		4184		0.0052449009155
台阶		4185		0.0224587973881
合作		4270		0.0101297346396
合理		4278		0.0137458326428
同一		4296		0.0136419580287
同事		4300		0.0144174317921
同感		4314		0.00377174998969
同时		4315		0.0103417901991
同样		4317		0.00827511578064
同胞们		4327		0.0237509603074
名叫		4340		0.024907339447
后台		4363		0.0183531754272
后面		4387		0.00375087031339
否则		4422		0.0120609890012
含着		4428		0.0475019206148
告诉		4500		0.00349198646127
味道		4533		0.00568498196985
呵呵		4534		0.00279224160215
命运		4549		0.0350885467241
咋会		4553		0.0254809721914
和平		4560		0.015331000624
哈哈		4604		8.7643346895e-05
哎呀		4613		0.0159182980656
哪个		4630		0.00340699909621
哪怕		4643		0.0135401404734
哪是		4644		0.0219170738093
哪里		4654		0.00487379251771
唯一		4691		0.0060475369494
喜剧片		4746		0.0352691456713
喜欢		4751		0.000137689595618
嘴脸		4794		0.0137458326428
嘴里		4798		0.0677007023669
四集		4847		0.0191887857653
回到		4852		0.00922704754407
回来		4869		0.00787873153766
因为		4880		0.00124564668825
因此		4882		0.0344117128215
团体		4887		0.0230643928258
围住		4896		0.0475019206148
国人		4911		0.0247453953593
国共		4914		0.0504304562885
国共合作		4915		0.0219170738093
国名		4920		0.0237509603074
国家		4925		0.0075032641509
国有		4931		0.0254809721914
国民		4932		0.0176345728357
国民党		4933		0.241219780024
圈子		4964		0.0475019206148
土匪		4969		0.0124536697235
地下		5007		0.0125359373749
地下党		5008		0.0332463270866
坏人		5048		0.005663149162
坚持		5078		0.00935945705501
垃圾		5085		0.0207775251749
埋汰		5092		0.0237509603074
堵住		5127		0.0224587973881
声音		5151		0.00269940247069
处理		5161		0.0106772320747
处罚		5162		0.0254809721914
外人		5187		0.0150530075977
外国		5196		0.0112900539627
外国人		5197		0.0403209002504
外行		5212		0.0209796459159
外貌		5217		0.0154758445268
多人		5231		0.00616628630437
多集		5286		0.0268806001669
大事		5311		0.0139600977505
大哥大		5350		0.0461287856516
大家		5392		0.00149365534222
大批		5418		0.0254809721914
大有		5428		0.0230643928258
大杂烩		5430		0.0230643928258
大权		5431		0.0254809721914
大王		5465		0.0172058564107
大盗		5470		0.143976677933
大脑		5490		0.0149194515557
大陆		5524		0.0285692025367
天下		5539		0.00694287768946
天大		5562		0.0195004944438
天天		5563		0.00510619759253
天气		5591		0.0164427373634
太丑		5636		0.0227399278794
太低		5643		0.0174157475339
太假		5646		0.0244049311483
太大		5665		0.029335389448
太好了		5669		0.0100957598661
太差		5679		0.0150690405736
太惨		5692		0.0172058564107
太气		5708		0.0172058564107
太烂		5713		0.00820320385985
太能		5745		0.0147892770452
太赞		5759		0.0145384166334
失去		5790		0.0181959249499
失望		5795		0.00714230063418
失落		5798		0.0186169059797
夸张		5825		0.00570690788163
奇怪		5837		0.00478414938058
女一号		5868		0.0247453953593
女主角		5895		0.00757174644113
女人		5902		0.00853190731477
女演员		5939		0.0228883355132
女猪		5943		0.0383775715307
奶奶		5968		0.00772615558063
奸细		5981		0.0312497747665
好人		6004		0.00482100701886
好像		6012		0.00169693863081
好几		6013		0.015331000624
好几回		6016		0.0419592918319
好几部		6019		0.0164427373634
好好		6044		0.00204507094749
好比		6090		0.0162684285174
好看		6107		0.00010885588294
如果		6160		0.00428121532496
如此		6163		0.00516518430283
妻子		6222		0.0197528034028
始终		6227		0.0266847230628
姑娘		6239		0.00619036887075
姓李		6242		0.0403741238507
娘们		6282		0.0376078121248
娘养		6284		0.0254809721914
婆娘		6298		0.016099835757
婊子		6305		0.0141836816075
嫁祸		6329		0.0237509603074
嫉妒		6335		0.0470218115285
嫌疑		6340		0.0377897980121
子弹		6357		0.0389207387457
孙红雷		6388		0.0162684285174
孤独		6405		0.0113555531736
学学		6420		0.0159365960617
孩子		6435		0.0025545585679
守住		6452		0.024543544298
安全		6461		0.0137458326428
完全		6499		0.00475811934027
完成		6506		0.0144174317921
官僚		6520		0.0237509603074
官场		6525		0.0178631268414
实力派		6561		0.0231144222376
实在		6562		0.00792319951639
实属		6566		0.0209796459159
审问		6595		0.0201870619253
客户端		6600		0.0089307406301
室内		6610		0.0219170738093
宫廷		6617		0.0396646537988
害死		6630		0.00918365810073
家伙		6641		0.0087290826849
家族		6655		0.0134403000835
家门		6661		0.0176345728357
容易		6666		0.00431082152013
宾馆		6672		0.0219170738093
密室		6679		0.0219170738093
密码		6681		0.0631135197261
对于		6711		0.00861177831512
对手		6721		0.0136419580287
对比		6726		0.0119119461447
导演		6749		0.0444710691667
尊重		6783		0.0178614812602
小包		6822		0.0224587973881
小型		6839		0.024543544298
小妹妹		6852		0.024543544298
小姐		6853		0.00611845694996
小学		6863		0.0092708062637
小孩		6865		0.00532587295938
小小的		6879		0.0139600977505
小生		6954		0.052903718507
小谢		7001		0.152885833148
小辣椒		7008		0.0224587973881
尝试		7068		0.0176345728357
尤其		7069		0.0144630210566
就是		7077		0.0
就让		7086		0.0100268988412
尸体		7089		0.0126195427702
尼玛		7101		0.0167940062395
尽管		7107		0.0164427373634
局面		7113		0.0214270252235
居然		7124		0.00382691103563
展示		7138		0.0209796459159
属于		7140		0.0079591490328
崩溃		7192		0.0344117128215
差不多		7234		0.00387741780836
已经		7260		0.00574353495919
希望		7318		0.00328197947199
带到		7330		0.0183531754272
常理		7360		0.0146623170509
干嘛		7374		0.00344931718301
年代		7419		0.0149706489516
年纪轻轻		7431		0.0230643928258
年青		7438		0.0195004944438
幼稚		7459		0.0185416125274
广告		7469		0.00130355537109
床上		7485		0.0126195427702
应当		7492		0.0419592918319
