term		index		tf-idf
一个		16		0.0
一个月		25		0.155362084645
一些		33		0.00439350411597
一会		44		0.0155371574883
一副		67		0.00766817924022
一块		104		0.0202230542016
一定		126		0.0154674308498
一家人		129		0.010003318127
一张		151		0.0106918802377
一方		179		0.0178938026288
一月		192		0.0608753124557
一样		209		0.000449903666912
一次		218		0.00362844294265
一点		234		0.000392602579198
一笑		270		0.0254564024807
一线		282		0.0157424290764
一般		296		0.00805682473622
一起		312		0.00188587289908
一部		330		0.00424355386296
丈母娘		402		0.0488827484985
三十万		416		0.024130930101
三国		433		0.0119509295881
三线		463		0.0723927903031
下去		544		0.00355673025572
不了		597		0.00203988320707
不信		612		0.012455090217
不像		618		0.0437389738077
不到		634		0.00882678919273
不够		679		0.0133848179201
不太		682		0.00903595009867
不太好		685		0.0120314141218
不好		689		0.00405224472632
不少		705		0.00660156286528
不弃		718		0.0149424040957
不得		722		0.0102221955789
不忍		728		0.0221529817619
不怎么样		733		0.00797581016462
不悔		737		0.0224925783328
不易		768		0.0146558977313
不是		769		6.17658042469e-05
不显		771		0.024130930101
不止		780		0.0103354379719
不爽		803		0.00857585495991
不看		819		0.00426009293691
不管		835		0.00794529332503
不能		851		0.00142229695119
不落		862		0.021842386818
不要		865		0.00133571693725
不让		876		0.0127355924212
不该		883		0.00877961705109
不过		899		0.00144790992208
不错		914		0.000554919000737
不靠		920		0.024910180434
丑女		939		0.0121132514
专属		957		0.0173807808447
世界		974		0.00367198305478
业余		981		0.0150922375616
东北		987		0.00964247133485
东西		1002		0.00819861784024
两个		1018		0.00679903613922
两人		1019		0.00790574847489
两年		1042		0.011421969317
两者		1058		0.0184673121898
严重		1073		0.00845756889796
个人		1080		0.00759975030246
个性		1086		0.00790574847489
个赞		1090		0.013117945467
中国		1107		0.00497690836937
中心		1123		0.0304936568646
中是		1132		0.0167002515156
为了		1162		0.00173719204378
为什么		1165		0.000276271493352
为何		1166		0.00687518560144
为啥		1167		0.00829256667036
主叫		1187		0.0622675664186
主演		1204		0.00426009293691
主角		1212		0.0210115475344
之后		1253		0.00697211685668
之类		1282		0.00964247133485
乡下		1341		0.0159195105341
书包		1350		0.021842386818
买房		1364		0.0191175037046
买来		1366		0.0224925783328
了解		1398		0.0322223908217
事业		1410		0.024910180434
事情		1421		0.0088208809856
云南		1506		0.0187815633782
互相		1517		0.0481256564873
交通		1570		0.0622675664186
亲情		1608		0.0145187280006
人家		1665		0.00136723284455
人才		1682		0.0129925573787
人生		1714		0.0107675563954
什么		1749		0.000109805874217
今天		1767		0.010441554177
仍然		1778		0.01714321161
他们		1804		0.00113327230588
他哥		1808		0.0169166961904
他妈		1809		0.0097428708388
他妈的		1810		0.0044274359845
他演		1820		0.0156050212254
他爸		1821		0.026235890934
以为		1862		0.00329867400682
以后		1865		0.0106948705313
任何		1880		0.0214059708186
