term		index		tf-idf
一丁点		2		0.0243122379674
一下		8		0.0137604861431
一个		16		0.0
一个月		25		0.0387532953907
一些		33		0.00949788112306
一会		44		0.0167941204696
一会儿		45		0.01440318965
一副		67		0.0165770767323
一只		84		0.00944509917595
一周		93		0.0356546255766
一头		119		0.0470798987439
一方面		180		0.0214754324616
一样		209		0.000875341934166
一点		234		0.000848728606462
一直		259		0.00253583645892
一般		296		0.0145143757606
一起		312		0.00305766128855
一部		330		0.0107026716208
一集		338		0.00941399801953
上学		486		0.0409729961736
上方		500		0.0243122379674
下午		542		0.0168313086477
下去		544		0.00768894264439
下巴		552		0.0131831889744
下载		575		0.00588694962792
不上		585		0.0172074060476
不了		597		0.00881964267895
不会		605		0.00198873391133
不像		618		0.00590968454086
不可		648		0.0102638523894
不可思议		652		0.0158415664045
不同		662		0.00547265982293
不多		678		0.0152720248726
不够		679		0.024112759448
不太		682		0.019533924996
不好		689		0.00438007313482
不如		693		0.00832722110284
不小		704		0.0155490953783
不带		712		0.042869999465
不得不		723		0.00818220900912
不忍心		729		0.019056856756
不想		739		0.00699109456781
不是		769		9.64349900239e-05
不用		807		0.0038444713222
不看		819		0.00460473635849
不知		820		0.00568663742852
不算		833		0.00909985253359
不能		851		0.000768680704941
不要		865		0.00144377703413
不让		876		0.0137659075371
不说		885		0.0104225515731
不过		899		0.00678186808676
不错		914		0.00083973707409
丑到		937		0.0370602101742
丑化		938		0.0164803036632
丑男		947		0.0214754324616
丑角		948		0.0729367139021
专业		952		0.0608852444458
东西		1002		0.00177237793717
两个		1018		0.00146981624
两点		1052		0.0224350134522
两种		1056		0.0333057611439
个二货		1079		0.0472188913371
个人		1080		0.0109527646623
个性		1086		0.017090654116
中心		1123		0.0164803036632
中文		1127		0.00991116670105
中间		1147		0.0202429424856
为了		1162		0.00281659748419
为什么		1165		0.000895865941724
为何		1166		0.00743139118774
为啥		1167		0.00448171950914
主帅		1193		0.0174060380796
主演		1204		0.00920947271698
主角		1212		0.0170335433368
之一		1239		0.0263275970989
之前		1250		0.00309952782193
之城		1255		0.0229895389278
之爱		1278		0.0421083155058
之类		1282		0.0104225515731
之间		1287		0.00821741398427
乍一看		1294		0.0229895389278
习惯		1339		0.00749259099545
乱七八糟		1371		0.0101606505699
了解		1398		0.00696583932659
互动		1515		0.0438667682842
产生		1577		0.0136576653912
亮出		1587		0.130415665627
人会		1635		0.0442744244532
人多		1656		0.0174060380796
人家		1665		0.000738921296208
人少		1666		0.0421083155058
人有		1690		0.0133678789476
人民币		1702		0.0148819854138
人演		1707		0.00962660420245
人物		1709		0.00726662962707
人生		1714		0.0872899238823
人长		1739		0.0155490953783
什么		1749		0.000192869980048
今天		1767		0.00564314028705
