term		index		tf-idf
一个		16		0.0
一个个		17		0.00644860488036
一出		53		0.00938571281081
一切		60		0.019033708774
一副		67		0.00486389905964
一双		78		0.00957295308107
一口		81		0.0128972097607
一句		83		0.00243255628531
一定		126		0.0056062496349
一对		132		0.00385183041791
一幕		145		0.00819458707724
一样		209		0.00074196800571
一点		234		0.000498052863908
一点点		236		0.0128972097607
一直		259		0.0037202133908
一般		296		0.00170347184256
一行		301		0.0115265107494
一触即发		306		0.0147430603812
一说		308		0.00838569041062
一起		312		0.003588607595
一遍		328		0.0097458471287
一部		330		0.00269167125559
一阵		337		0.0108738786897
一集		338		0.00276217193503
七个		354		0.0551228400888
万岁		388		0.0149615884708
三姐		440		0.015306163895
上下		472		0.0191459061621
不了		597		0.0012938907271
不会		605		0.00175055008023
不准		629		0.0171788056379
不到		634		0.00746506835747
不吃		656		0.0087330807511
不好		689		0.000856774848211
不是		769		0.000117533495677
不红		839		0.0110245680178
不能		851		0.000225539485539
不行		863		0.00359088890415
不要		865		0.000847240544528
不败		890		0.01118298831
不过		899		0.000612269439532
不连贯		903		0.0247100981071
不配		910		0.00529135720386
不错		914		7.03966331852e-05
专门		964		0.0117476490677
世界		974		0.0046582518138
世间		979		0.00896196459925
东西		1002		0.00208014175748
两口子		1025		0.0103353850158
中国		1107		0.00210455695582
丰富		1149		0.00758043250743
为什么		1165		0.000306666560026
主人公		1181		0.00929618426489
主演		1204		0.00270216193189
主角		1212		0.0033318876324
之前		1250		0.00363774402493
也好		1334		0.00701661595691
了解		1398		0.0040877097811
事后		1417		0.028533926288
二人		1432		0.010461464504
亮眼		1591		0.015306163895
人人		1632		0.00719982620911
人家		1665		0.000433615486714
人民		1701		0.00608482978755
人气		1703		0.00819458707724
人演		1707		0.0112982118341
什么		1749		6.09432940549e-05
仁慈		1757		0.0103353850158
从此		1793		0.0261992422533
他们		1804		0.00143766125705
他俩		1806		0.0102538210641
他帅		1816		0.0105929106634
他演		1820		0.0247455248782
令人		1854		0.0074807942354
以为		1862		0.0010461686469
以前		1863		0.00068375025017
但是		2010		0.000902157942154
体贴		2046		0.0117137510197
何以		2051		0.319531752538
作者		2098		0.00832066656536
你们		2101		0.000374123723035
保持		2200		0.0261992422533
值得		2268		0.00341491153151
假装		2298		0.0187714256216
做作		2320		0.00394403184895
做法		2334		0.0195445630041
偶像		2357		0.0402938272045
偶像剧		2358		0.00596249622902
儿子		2421		0.00469535124748
兄妹		2435		0.0245837612317
先看		2461		0.00998536726681
光明		2472		0.0128709986962
兜兜		2505		0.0230530214988
八年		2567		0.0155798077113
公开		2605		0.0413415400634
其它		2689		0.0209512734273
其实		2690		0.000433615486714
养眼		2707		0.00832066656536
内地		2718		0.00596249622902
军装		2800		0.0176150129733
冠军		2815		0.0184183559765
冯绍峰		2828		0.0131653659564
冰雨		2848		0.015306163895
冷酷		2877		0.00987698707394
几个		2911		0.00116437411656
几遍		2967		0.00536460613673
几部戏		2969		0.0630113122128
凭着		2981		0.0126022624426
凶狠		2989		0.0134907738655
出名		3012		0.00617986862676
出来		3032		0.000249026431954
出演		3035		0.00674297214055
出道		3057		0.0199707345336
刘凯威		3120		0.014266963144
刘恺威		3129		0.0539630954619
刚看		3157		0.00492758211106
删减		3178		0.00929618426489
别人		3196		0.00208387598037
到位		3229		0.0119261629102
到底		3236		0.00314090575474
前进		3304		0.0113499759269
剧情		3325		0.00068960424796
剧拍		3328		0.0121261652054
剧是		3332		0.0215994786273
副官		3361		0.0242523304108
动作		3407		0.00940046129251
动物		3417		0.00790021981705
努力		3426		0.00514987360117
十月		3565		0.0238261588813
千万		3572		0.00733711630326
千山		3581		0.0306123277899
半个		3599		0.00858940281896
卖萌		3665		0.00998536726681
卡成		3698		0.0138545489583
卫视		3722		0.00938571281081
厉害		3759		0.00462496587839
厕所		3770		0.0087330807511
原来		3794		0.00364659261951
原音		3806		0.0306427533449
双鱼		3864		0.0306123277899
发型		3916		0.00338873748868
发展		3922		0.00417051684761
发挥		3927		0.00929618426489
发火		3932		0.01118298831
发现		3934		0.00694622179171
受得了		3986		0.0468550040787
口水		4051		0.00998536726681
只有		4099		0.00272663565824
可以		4131		0.000174988760214
可惜		4149		0.00130051134822
