term		index		tf-idf
一下		8		0.00191472123736
一个		16		0.0
一刀		55		0.00850018525714
一半		76		0.00463327482983
一堆		108		0.0140984032845
一塌糊涂		109		0.00865439864056
一帮		142		0.00625260505698
一批		164		0.0115013454431
一把		165		0.0207338362838
一本		196		0.0363187663802
一条		200		0.0113676974827
一样		209		0.00070373693553
一模一样		216		0.00598611435079
一次		218		0.0021829197132
一点		234		0.00236194952802
一片		237		0.0072874937514
一直		259		0.00211711412164
一种		265		0.00602239473289
一脸		293		0.00601812972723
一部		330		0.00595695019371
一集		338		0.003929770013
三个		405		0.0154061283409
三四		430		0.013983400973
三流		454		0.0100470942564
三观		464		0.044331100737
三角		465		0.0124869997385
上来		503		0.012505210114
上海		508		0.0208771794868
下去		544		0.00427955280678
下次		560		0.0152033128512
下载		575		0.00327658989912
不下		586		0.00783152943268
不了		597		0.00368166290807
不会		605		0.0022138003067
不像		618		0.00328924381852
不出		631		0.00777234807066
不可		648		0.00571270983969
不同		662		0.00304600226442
不够		679		0.00268416171501
不好		689		0.00487576904782
不如		693		0.00772468207301
不帅		711		0.00678669377527
不得		722		0.00614980932426
不怎么		732		0.00652798081071
不想		739		0.00259409386213
不敢		761		0.00754109905412
不是		769		8.25758497656e-05
不服		775		0.0165661900196
不看		819		0.00768878634639
不管		835		0.00238999726611
不给力		842		0.00873466058689
不能		851		0.00171134566636
不能不要		853		0.00898954978173
不行		863		0.0170293134865
不要		865		0.00281254799339
不让		876		0.00383095120895
不论		880		0.00857627726998
不过		899		0.00232288516906
不错		914		0.00106830937244
丑点		945		0.0196056760469
专属		957		0.0104565097857
世界观		976		0.0239058220404
业余		981		0.0181593831901
东北		987		0.0116020789597
东哥		992		0.286869864484
东西		1002		0.0088783162963
两下		1017		0.0106067672228
两个		1018		0.000818078181391
两句		1026		0.0179790995635
两集		1065		0.00523228316425
丧尸		1076		0.0103135849626
个性		1086		0.00475620382246
中国共产党		1108		0.0290349793826
中奖		1112		0.0124869997385
中学生		1114		0.013983400973
为了		1162		0.000522558962331
为什么		1165		0.000166208618563
为啥		1167		0.0024944594064
主人公		1181		0.0176343674561
主演		1204		0.00256292878213
主角		1212		0.00632041374806
之后		1253		0.00419451857717
也好		1334		0.00332753688387
也罢		1336		0.0203546205244
书上		1347		0.00957739005922
书中		1348		0.0127956404925
书里		1356		0.0124869997385
乱套		1380		0.011299239258
二三十		1429		0.013983400973
二人转		1434		0.0262813430013
云南		1506		0.011299239258
交代		1558		0.00783152943268
亲手		1610		0.0206271699252
亲爱		1612		0.00808098882469
人家		1665		0.0012338182973
人换		1683		0.02441560043
人演		1707		0.00535802683668
人物		1709		0.00606674935449
什么		1749		0.000156894114555
仓促		1798		0.041950202919
他们		1804		0.00022726391605
他妈		1809		0.0117228823235
以为		1862		0.00198452631906
以前		1863		0.000648518941544
任性		1884		0.0056552692192
伎俩		1900		0.013983400973
伟大		1950		0.00511171562099
伤不起		1972		0.00857627726998
伤心		1979		0.0143950616109
估计		1994		0.0146808150201
但是		2010		0.000855672833181
低成本		2023		0.0127956404925
体谅		2044		0.0104565097857
何以		2051		0.00947085549027
何时		2062		0.00890209917465
作假		2082		0.0145174896913
作品		2085		0.00800755927551
作弊		2090		0.012207800215
你们		2101		0.00106453922675
你妹		2109		0.0053324425886
侮辱		2161		0.0686904576341
俗话说		2185		0.0106067672228
保证		2205		0.0157838622291
俩个		2224		0.00881718372807
假货		2301		0.0290349793826
偶像		2357		0.0286632182177
偷袭		2372		0.0107651505397
儿子		2421		0.00445341587873
兄弟		2436		0.00308122566818
先入为主		2446		0.0101773102622
全给		2542		0.027966801946
八年		2567		0.00738851678949
六道		2630		0.108254683167
共产党		2638		0.0070953345293
其他		2686		0.00160140809663
其实		2690		0.000822545531533
养个		2699		0.0145174896913
养眼		2707		0.00789193111457
内容		2721		0.0101763727113
再者		2754		0.0249739994769
写实		2773		0.00992242106737
写成		2775		0.00980283802347
决定		2862		0.00515934882961
几个		2911		0.00110437790618
几分钟		2917		0.0236757933437
几季		2938		0.00926874930518
几把		2944		0.0140984032845
几部		2968		0.00497329406981
出来		3032		0.00307053438642
刀子		3067		0.0595345264042
分数		3095		0.022598478516
分钟		3105		0.00465081988544
切换		3108		0.0109325891275
初中		3169		0.0306298231393
初中生		3170		0.0135318353959
别人		3196		0.00395300197628
别扭		3206		0.00380059469081
别拍		3208		0.0318203016684
别的		3217		0.00555699375879
别管		3221		0.0135318353959
别说		3224		0.00473535407048
到底		3236		0.00148953281922
制作		3243		0.00605049887189
前男友		3297		0.0198448421347
前面		3306		0.00274671308348
剧中		3314		0.00309306155412
剧情		3325		0.00490553477158
剧本		3334		0.00699902725115
剧组		3341		0.0104645663285
动作		3407		0.00891608771759
动刀		3409		0.0145174896913
动漫		3416		0.0181593831901
努力		3426		0.00488451825222
匕首		3479		0.05118256197
化妆		3481		0.00511171562099
区别		3508		0.0158458044715
医院		3516		0.00559893329478
十分钟		3552		0.00873466058689
十块钱		3555		0.0145174896913
千里		3588		0.0222203630957
卑鄙		3633		0.00783152943268
单挑		3646		0.0127956404925
卧槽		3712		0.00327658989912
厉害		3759		0.0029244381511
原因		3785		0.0075112834398
原本		3793		0.0217147780571
原版		3797		0.00687160922184
原著		3801		0.0476355607465
双眼皮		3856		0.00957739005922
反正		3887		0.00381573362779
发了		3905		0.012207800215
发光		3908		0.00865439864056
发布		3923		0.022598478516
发表		3948		0.0152033128512
受不了		3972		0.00302275311234
变化		3998		0.00605049887189
变成		4015		0.0168457078976
口味		4041		0.00635913962592
古代		4061		0.00422211510417
古惑仔		4068		0.0407092410489
只是		4098		0.00142096006773
只有		4099		0.000862047153728
只能		4105		0.0110607240591
叫姐		4118		0.0270636707918
可不		4126		0.00789193111457
可以		4131		0.000232361064203
可可		4137		0.0101773102622
可惜		4149		0.00123350045254
可是		4154		0.00368166290807
可爱		4158		0.000742685621242
可笑		4164		0.00515934882961
可能		4168		0.00229208726251
台词		4184		0.00896466520987
同意		4313		0.00269779135807
同感		4314		0.00429782201261
名字		4345		0.00629214470867
后期		4371		0.0134902832412
后边		4383		0.00850018525714
后面		4387		0.00213701505182
吐槽		4391		0.0308126124526
吐血		4392		0.0159072090076
向日葵		4397		0.0109325891275
吓死		4407		0.00695905982892
否则		4422		0.00687160922184
呆板		4491		0.012207800215
告诉		4500		0.00198951896627
呕吐		4502		0.0109325891275
呜呜		4504		0.0117842311099
呵呵		4534		0.000681791748151
和谐		4566		0.014777033579
哈哈		4604		0.000199735139696
哥们		4618		0.00595444509332
哪个		4630		0.00194109839632
哪会		4632		0.0127956404925
哪去		4637		0.00936805975755
哪有		4645		0.00354067652
哪里		4654		0.00277678701197
啊啊啊		4713		0.0121840090577
啥时候		4719		0.0123673506812
喜欢		4751		3.71591323945e-05
喝醉		4765		0.0103135849626
四射		4828		0.0115013454431
回顾		4878		0.00513543540877
因为		4880		0.000709692817835
国内		4916		0.00601812972723
在我心中		4997		0.00926874930518
场景		5043		0.00481965852993
