term		index		tf-idf
一下		8		0.00455735686355
一个		16		0.0
一个个		17		0.010918417099
一个多月		22		0.0228418237408
一份		42		0.015891363968
一会儿		45		0.0143106445207
一共		51		0.0141981819734
一口气		82		0.016047474274
一句		83		0.0164746729766
一只		84		0.00938441137374
一块		104		0.0217186565136
一帮		142		0.0223233690749
一幕		145		0.0138746164982
一想		160		0.0201705597846
一把		165		0.0462656240364
一枪		206		0.035473524317
一样		209		0.000579811720335
一根		210		0.0140880872356
一点		234		0.00168655050399
一直		259		0.00251954289348
一看		260		0.0142098480054
一窝		268		0.0241560240133
一起		312		0.00101267161021
一部		330		0.00607651629194
一集		338		0.00233837751307
一颗		343		0.0131894295022
上个		473		0.0499242504522
上去		479		0.0117543150129
上头		485		0.0259155406
上来		503		0.0111616845375
上级		516		0.0320949485481
上线		518		0.0222908612699
上边		527		0.0585481298946
下来		556		0.0135153048514
不了		597		0.00438148681802
不仅		602		0.0121903430354
不会		605		0.00296393348378
不卡		639		0.0117543150129
不在乎		671		0.0177127665657
不够		679		0.00479156544152
不好		689		0.00290128650344
不如		693		0.00275790534235
不容		702		0.0205313446831
不小		704		0.0154491874358
不怎么样		733		0.00856566370521
不怕		734		0.0292941378796
不想		739		0.00231539151169
不愿		743		0.0162083887209
不敢		761		0.0201927119835
不是		769		0.000169519490463
不来		778		0.0144255789691
不然		799		0.0183094078179
不甘		805		0.0259155406
不用		807		0.00381976935657
不知		820		0.00565009895274
不管		835		0.0127993349748
不能		851		0.00305496673602
不要		865		0.000717250150998
不要脸		868		0.0062714500009
不见		870		0.0475953953958
不过		899		0.00103666036946
不错		914		0.00190706626997
丑化		938		0.0163744124079
世纪		977		0.0256695286632
业务		982		0.0259155406
两个		1018		0.00730186098792
两人		1019		0.00849042058125
两头		1034		0.0668725838096
两遍		1061		0.0267524206356
个个		1078		0.0170558136254
个人		1080		0.0108823896241
个性		1086		0.0169808411625
中医		1098		0.0222908612699
中原		1106		0.0390320865964
中国		1107		0.0178165906258
中文		1127		0.0787798741199
中毒		1138		0.0143106445207
中间		1147		0.00670429168823
为了		1162		0.0027984999388
为什么		1165		0.00059340647647
为何		1166		0.00738364210749
为数不多		1172		0.0249621252261
主角		1212		0.011282731559
之后		1253		0.0074877419441
也好		1334		0.0118801416837
了解		1398		0.00692108156689
事情		1421		0.00473661600181
二十		1438		0.0174992958284
二十一		1439		0.0483120480266
二百五		1481		0.0184110431978
二货		1488		0.0130090907039
二部		1493		0.0163744124079
互相		1517		0.0129212011242
交谈		1569		0.0499242504522
人妖		1662		0.0162083887209
人家		1665		0.00367086744526
人工呼吸		1668		0.0259155406
