term		index		tf-idf
一下		8		0.00480672822717
一下子		10		0.00826499503334
一个		16		0.0
一号		87		0.0608016996571
一定		126		0.010011585852
一对		132		0.004585707431
一张		151		0.00807394093339
一样		209		0.00027179471162
一次		218		0.0219200614656
一点		234		0.00237178117545
一直		259		0.00177160553193
一般		296		0.00202802892116
一起		312		0.0028482223999
一遍		328		0.0154702565622
一部		330		0.00854535154415
一颗		343		0.00927408949044
三个		405		0.00386756414056
下来		556		0.00475161365626
下车		574		0.0120215700965
不了		597		0.00154041161692
不会		605		0.00243142296354
不假		616		0.0129456442525
不去		641		0.0148694239921
不敢		761		0.0141984168427
不明		766		0.0129456442525
不是		769		9.84669927916e-05
不算		833		0.00635740882722
不能		851		0.000268510807228
不良		860		0.0182223986775
不行		863		0.00213752477979
不要		865		0.00201732518795
不错		914		0.000419045400356
丑八怪		936		0.0116341632522
世界		974		0.00554577373363
丢失		1013		0.0175520088401
两个		1018		0.00102685430386
两周		1030		0.031347442617
两条		1046		0.0137226202253
两遍		1061		0.0094054236015
严肃		1071		0.0110673567209
严重		1073		0.0127734150035
丫丫		1091		0.0121603399314
为了		1162		0.00393550590905
为什么		1165		0.000365094765495
主从		1182		0.0169852023088
主君		1188		0.189174310973
主角		1212		0.0138834555941
举行		1228		0.0494826364751
之前		1250		0.00866166367535
之后		1253		0.00526497289812
之王		1279		0.0116341632522
乌龟		1293		0.026250087879
乖乖		1314		0.0174700675282
事情		1421		0.00333053076142
事故		1422		0.0153232691894
二号		1451		0.0423326147843
二姐		1456		0.0135124507838
互相		1517		0.00908548588322
交待		1560		0.0156737213085
人生		1714		0.00406554377717
什么		1749		0.000103649466096
仁显		1758		0.49034461406
他们		1804		0.000570524763074
他演		1820		0.0117840844488
代入		1843		0.0450099944133
以上		1860		0.00921014067509
以为		1862		0.00124549183574
以前		1863		0.00162804602642
任何人		1881		0.0292676271619
伏笔		1902		0.0147090173004
似的		2007		0.00268585406516
但是		2010		0.000268510807228
低头		2022		0.0126111442807
佘诗曼		2073		0.0116341632522
你们		2101		0.00089080865495
佩服		2121		0.0098903655594
使徒		2129		0.0101432825649
俗套		2182		0.031347442617
倒下		2242		0.0153232691894
值得		2268		0.0121966313315
值得一看		2269		0.042075480229
停不下来		2346		0.116341632522
像不像		2408		0.0139455347894
光洙		2477		0.0546671960325
全部		2547		0.0112390997276
公主		2582		0.0721293299268
公民		2609		0.0169852023088
再说		2756		0.00939095141559
农夫		2808		0.0418366043682
冬季		2822		0.0147090173004
几分		2916		0.0111739428563
几分钟		2917		0.0198119534662
几部		2968		0.0124849886871
几集		2970		0.00388242058179
凶手		2987		0.0213389184883
出不来		2992		0.0766163459468
分钟		3105		0.00583772373405
刘海		3133		0.00954162303143
刚刚		3145		0.020348046613
刚看		3157		0.0234656747073
别人		3196		0.00248091025089
别有用心		3212		0.0164942121584
到底		3236		0.0018696662751
剧情		3325		0.0016419847092
剧都		3350		0.00812078187514
加载		3401		0.0108630283676
动作		3407		0.00559575065967
勾心斗角		3454		0.0118878475708
包包		3465		0.0133136475467
包子		3468		0.0099059767331
匹诺		3505		0.100565485707
十五		3533		0.0278910695788
千金		3589		0.0109637734148
单身		3655		0.0108630283676
卖萌		3665		0.0237756951416
南北		3670		0.0164942121584
南宫		3673		0.163944875649
原来		3794		0.00434136632687
又帅		3835		0.0121603399314
友情		3844		0.0108630283676
反击		3872		0.0127745918204
反而		3893		0.00579060229592
发现		3934		0.00413483168152
另外		4087		0.0131351565374
只是		4098		0.00118906236131
只有		4099		0.00324613288828
只能		4105		0.00198335079916
可以		4131		0.000333326100473
可好		4141		0.0850970437272
可惜		4149		0.0061931745758
可爱		4158		0.00838999192911
可能		4168		0.000959011711375
右边		4198		0.00890608619621
合适		4282		0.00557210450614
同意		4313		0.00169313809483
同感		4314		0.00134865992372
名字		4345		0.00197447995239
后面		4387		0.002682388008
听到		4436		0.00521309134891
听见		4442		0.0172505309746
告诉		4500		0.00998900183177
味道		4533		0.00406554377717
呵呵		4534		0.000285262381537
哇哇		4598		0.0108630283676
哈哈		4604		0.000877478612346
哈哈哈		4605		0.00167992580703
哪个		4630		0.0048729456128
善良		4734		0.00414462132387
喜庆		4748		0.0182223986775
喜欢		4751		0.000171021619059
喜歡		4752		0.00884818005141
嘴巴		4791		0.00536586554521
回家		4860		0.00545610232415
回忆		4863		0.00400348383644
回忆起		4864		0.0153232691894
国语		4940		0.0135809856656
土豆		4974		0.006409190041
在乎		4988		0.00968306216898
垃圾		5085		0.00123823227918
基本		5115		0.0046954757078
声音		5151		0.00579133177994
处处		5157		0.0663102490925
复原		5170		0.0169852023088
夏天		5177		0.0139858913249
多久		5226		0.0077617687179
多好		5245		0.00589204222442
多情		5255		0.0121603399314
大叔		5343		0.0066614633061
大宝		5391		0.031347442617
大家		5392		0.00320450682906
大爱		5452		0.0319360678761
大美女		5483		0.00961166256243
大象		5507		0.0388369327575
大赞		5510		0.00826499503334
天国		5557		0.0252222885614
天然		5596		0.0109637734148
太像		5648		0.0101432825649
太多		5662		0.00444426829345
太好了		5669		0.0108297846635
太帅		5680		0.00411278593711
太平		5682		0.0131250439395
太无语		5697		0.0133136475467
太有		5701		0.0062708880306
太棒了		5704		0.00604965053114
太酷		5767		0.0106694592441
太阳		5770		0.111334718773
夫妇		5784		0.0110673567209
失望		5795		0.00510772699931
奇怪		5837		0.00342132461394
女一号		5868		0.00884818005141
女主		5870		0.0940158228809
女主哭		5877		0.0329884243168
女主能		5892		0.0351040176802
女主角		5895		0.0135370994971
女二		5899		0.0202865651298
女人		5902		0.00228805756608
女儿		5910		0.00327963771087
女生		5945		0.0212955350819
她们		5984		0.004585707431
好像		6012		0.000809029630152
好听		6029		0.00376521658112
好多遍		6039		0.0333073165305
好好		6044		0.00877504151312
好好看		6047		0.00287332612469
好帅		6057		0.00427504955958
好感		6077		0.0210833959939
好玩		6100		0.0056195498638
好看		6107		0.00141681401086
好配		6137		0.00983016035221
好长		6140		0.00890608619621
妈妈		6183		0.00950292088607
妹妹		6218		0.0177770731738
姐姐		6232		0.00425826723266
婚姻		6310		0.0181709717664
婚礼		6311		0.0861318716274
学校		6422		0.00807394093339
学生		6423		0.00747403819125
完好		6503		0.0803056407639
完美		6512		0.00434164867864
实在		6562		0.00141654426786
家伙		6641		0.0499399547485
家具		6643		0.0144365249398
家族		6655		0.0384466502497
对不起		6710		0.0470778848501
对于		6711		0.00615860559015
导演		6749		0.000859538624291
将军		6772		0.00836437849411
小乐		6794		0.0175520088401
小姐		6853		0.0175021519581
小小		6877		0.00638670750176
小说		6999		0.0109580236651
小鹿		7028		0.0300066629422
尤其		7069		0.00344768289313
就是		7077		0.0
就算		7081		0.00698277323743
就要		7085		0.0046769519195
就让		7086		0.00717061134131
尽管		7107		0.0117588180441
居然		7124		0.00273676757978
屋塔房		7126		0.137909422704
属于		7140		0.00569188591864
左岸		7214		0.228176114921
已经		7260		0.00308056291157
布置		7279		0.0153232691894
帅气		7297		0.0175021519581
帅爆		7299		0.0246091061793
希望		7318		0.00234706658524
带动		7332		0.0164942121584
年轻		7433		0.00298824060834
幸福		7448		0.00565669481692
广告		7469		0.000932221325456
应该		7498		0.000339146132199
开头		7554		0.00395761674438
开始		7555		0.00165648720028
异乡人		7589		0.0823357213516
弟弟		7620		0.00574091283432
强大		7693		0.0137806520953
当过		7761		0.0150033314711
形成		7771		0.0124546541021
很多		7836		0.000892398219217
很少		7842		0.00644601466171
很帅		7844		0.00388242058179
微博		7921		0.0575140496612
微微一笑		7924		0.0175520088401
心动		7940		0.0106694592441
心情		7958		0.0105555806709
心慌		7962		0.0164942121584
心疼		7982		0.00581570112512
心痛		7983		0.0332574039943
心里		8007		0.0175720864378
忠实		8050		0.0127745918204
怀挺		8088		0.0160611281528
怎么		8099		0.0
急诊		8136		0.0803056407639
总在		8164		0.0274452404505
总理		8173		0.0135124507838
总的来说		8174		0.0252222885614
总结		8180		0.0373639623063
恋歌		8193		0.0160611281528
恋爱		8194		0.0330599801334
恐怖		8197		0.0190722264816
恐怖片		8199		0.0232683265044
恨死		8205		0.0131250439395
恶魔		8233		0.0325890851027
悲剧		8254		0.0545610232415
情侣		8266		0.00862526548729
情况		8268		0.00422543697705
情景		8280		0.0107649701777
情绪		8294		0.00862526548729
感人		8397		0.0107317310904
感动		8402		0.00816244763769
感觉		8420		0.00075428172064
愤怒		8425		0.00165232786235
戏份		8476		0.00610372450863
戏真		8492		0.031347442617
戏迷		8496		0.0164942121584
我们		8535		0.00433274048456
我家		8554		0.0060765881183
我爱你		8579		0.0366417200391
所以		8656		0.000826970083631
所有		8662		0.00579204701328
所有人		8663		0.00724415307679
手势		8674		0.0164942121584
手机用户		8685		0.00629950268242
打开		8747		0.00836437849411
打算		8788		0.0182945701112
扮演		8837		0.0144834686886
报警		8955		0.0116341632522
拥抱		9066		0.0243206798628
挑事		9121		0.0182223986775
接吻		9235		0.0135124507838
推断		9256		0.0156737213085
推荐		9262		0.038468975961
插曲		9296		0.00731919576716
搞清楚		9331		0.0118878475708
搞笑		9334		0.000492586866564
摩登		9372		0.0425485218636
撒娇		9380		0.0116341632522
改变		9442		0.0115313472592
新娘		9675		0.0297179301993
新浪		9687		0.0693418371317
新郎		9693		0.0418366043682
早就		9876		0.0041286691765
时候		9894		7.28632978672e-05
明明		9933		0.00215609534553
星星		9965		0.0528778274069
春天		9984		0.0111739428563
是不是		9998		0.00105633814768
昵称		10005		0.00998338936503
暗恋		10061		0.0120215700965
更帅		10091		0.00968306216898
最佳		10124		0.0434521134703
最后		10131		0.00610148684287
最烦		10155		0.0110673567209
最终		10160		0.0077617687179
最近		10170		0.00444426829345
最高		10176		0.00968306216898
月亮		10177		0.0202865651298
有时候		10238		0.0153231809979
有没有		10248		0.00796897239608
有点		10250		0.00111527352459
有点像		10251		0.00972577478079
有缘		10266		0.0393751318185
有趣		10276		0.00662990118784
朋友		10288		0.00607046241144
服务员		10292		0.0243206798628
期待		10309		0.00382335161347
木有		10320		0.0125417760612
未婚妻		10334		0.0131250439395
朴信惠		10384		0.0266272950935
朴有		10387		0.0164942121584
杀人		10413		0.00604965053114
李易峰		10471		0.0135124507838
来世		10513		0.0351040176802
来看		10531		0.000979233380313
来自		10532		0.00604965053114
来说		10535		0.00465852098265
果然		10613		0.00692186645783
根本		10697		0.0216541591884
检查官		10760		0.0175520088401
棒棒		10768		0.0145629659664
模仿		10798		0.00689032604764
欧尼		10838		0.0450099944133
歌名		10858		0.0113968574204
歌唱		10859		0.0141828406212
歌曲		10863		0.0157846510805
止不住		10866		0.0175520088401
死人		10960		0.00879117171255
段时间		11015		0.0123045530896
每次		11052		0.00402018494971
比较		11103		0.00121653921213
毕业		11104		0.0078047746374
气势		11150		0.00908548588322
气场		11152		0.0326729089312
气质		11164		0.00304707329068
永远		11209		0.0113215742972
求解		11218		0.0255560380558
没什么		11297		0.00311893807076
没关系		11298		0.1255088643
没完		11324		0.0126111442807
没有		11350		5.7007206353e-05
没演		11361		0.0438550936592
没看		11370		0.00615860559015
没错		11396		0.0158304669775
泡菜		11453		0.0294180346008
活该		11534		0.00591784558786
济公		11579		0.0126111442807
浪漫		11591		0.0142687696
深情		11685		0.0213389184883
混乱		11703		0.00921014067509
清楚		11740		0.00480862199512
温暖		11773		0.0077192599878
温柔		11774		0.0056195498638
满意		11832		0.0115135962475
漂亮		11848		0.000879126478701
漏出来		11852		0.0329884243168
演员		11872		0.000626704779633
演技		11893		0.00378236847641
演过		11911		0.0328740709952
热血		12090		0.0124546541021
燕子		12129		0.0110673567209
爆炸		12135		0.0174700675282
爱上		12144		0.0128920293234
爱情		12165		0.0440149564245
爱看		12183		0.00822557187422
父母		12200		0.00527779033547
片子		12229		0.00289424421791
特别		12297		0.00224797461662
王世子		12467		0.150033314711
王后		12474		0.41426061608
现在		12543		0.000625876740848
现场		12544		0.020793933767
玻璃		12556		0.0116341632522
理由		12580		0.00724415307679
理解		12583		0.00375082531343
生死恋		12647		0.0989652729503
生活		12651		0.0024364728064
用户		12675		0.00360282879987
电影		12698		0.00245662060586
电视		12711		0.000867462830892
电视剧		12712		0.000407692067431
男一		12721		0.0107649701777
男主		12724		0.0662547339761
男主像		12727		0.0441270519012
